Datasets,Score,In OpenVLA?,FInish Modify,How many different task  after modify,Tasks / Categories,#UniqueTasks,Comments,Scenes,#Scenes,#Trajectories,Avg. frames/trajectory,Control frequency,In OXE?,NickName,Language instructions,# Total Cams,# Depth Cams,# First-person Cams,# Third-person Cams,Robot type,Robot Morphology,Tactile sensor?,Objects,Full data structure,Action space,How to modify it to align with our overall objectives?,whether annotation,Venue,How to change the raw data to RDLS format data,How is the dataset collected?,Robot ,,Comments
Stanford Robocook,1,FALSE,,,"pinch with gripper
press with punch
press with press
roll with rolling pin",9,,"Table Top, Kitchen (also toy kitchen)",2,"2,460",45,5,✅,stanford_robocook_converted_externally_to_rlds,"
pinch the dough with an asymmetric gripper
press the dough with a circle punch
pinch the dough with a two-rod symmetric gripper
press the dough with a square press
roll the dough with a small rolling pin
press the dough with a square punch
pinch the dough with a two-plane symmetric gripper
press the dough with a circle press
roll the dough with a large rolling pin",4,4,0,4,Franka,Single Arm,,"kitchen tools
dough","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'extrinsics_1': Tensor(shape=(4, 4), dtype=float32, description=Camera 1 Extrinsic Matrix.),
        'extrinsics_2': Tensor(shape=(4, 4), dtype=float32, description=Camera 2 Extrinsic Matrix.),
        'extrinsics_3': Tensor(shape=(4, 4), dtype=float32, description=Camera 3 Extrinsic Matrix.),
        'extrinsics_4': Tensor(shape=(4, 4), dtype=float32, description=Camera 4 Extrinsic Matrix.),
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x robot end-effector velocities, 3x robot end-effector angular velocities, 1x gripper velocity].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'depth_1': Tensor(shape=(256, 256), dtype=float32, description=Camera 1 Depth observation.),
            'depth_2': Tensor(shape=(256, 256), dtype=float32, description=Camera 2 Depth observation.),
            'depth_3': Tensor(shape=(256, 256), dtype=float32, description=Camera 3 Depth observation.),
            'depth_4': Tensor(shape=(256, 256), dtype=float32, description=Camera 4 Depth observation.),
            'image_1': Image(shape=(256, 256, 3), dtype=uint8, description=Camera 1 RGB observation.),
            'image_2': Image(shape=(256, 256, 3), dtype=uint8, description=Camera 2 RGB observation.),
            'image_3': Image(shape=(256, 256, 3), dtype=uint8, description=Camera 3 RGB observation.),
            'image_4': Image(shape=(256, 256, 3), dtype=uint8, description=Camera 4 RGB observation.),
            'state': Tensor(shape=(7,), dtype=float32, description=Robot state, consists of [3x robot end-effector position, 3x robot end-effector euler angles, 1x gripper position].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})","EEF Position
3 eef velocity
3 eef angular velocity
1 gripper velocity",modify action,,CoRL 2023,,scripts,,,
ETH Agent Affordances,,FALSE,,,"close the oven
open the oven",2,,Kitchen(also toy kitchen),1,118,"1,265",66.6,✅,eth_agent_affordances,"close the oven
open the oven",1,1,0,1,Franka,Mobile manipulation,,,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
        'input_point_cloud': Tensor(shape=(10000, 3), dtype=float16, description=Point cloud (geometry only) of the object at the beginning of the episode (world frame) as a numpy array (10000,3).),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(6,), dtype=float32, description=Robot action, consists of [end-effector velocity (v_x,v_y,v_z,omega_x,omega_y,omega_z) in world frame),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(64, 64, 3), dtype=uint8, description=Main camera RGB observation. Not available for this dataset, will be set to np.zeros.),
            'input_point_cloud': Tensor(shape=(10000, 3), dtype=float16, description=Point cloud (geometry only) of the object at the beginning of the episode (world frame) as a numpy array (10000,3).),
            'state': Tensor(shape=(8,), dtype=float32, description=State, consists of [end-effector pose (x,y,z,yaw,pitch,roll) in world frame, 1x gripper open/close, 1x door opening angle].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})","EEF velocity
v_x, v_y, v_z
omega_x, omega_y, omega_z",modify action,,,,Expert Policy,,,"input point-cloud
depth image"
Imperial Wrist Cam,3,FALSE,,,"put
open
pick up
hang
swipe
grasp
pour
insert
stack",17,,Table Top,1,170,43,10,✅,imperialcollege_sawyer_wrist_cam,"put apple in pot 
open lid 
pick up apple 
open bottle 
pick up kettle 
hang cup 
swipe 
grasp can 
pour in mug 
pick up mug 
insert cap in bottle 
pick up pan 
put cup in dishwasher 
insert toast 
stack bowls 
pick up bottle 
pick up shoe ",1,0,1,0,Sawyer,Single Arm,,kitchen household,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of 3x delta position in EEF frame, 3x delta ZYX euler angles, 1x gripper open/close, 1x terminate episode.),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(64, 64, 3), dtype=uint8, description=Main camera RGB observation (same as wrist in our case).),
            'state': Tensor(shape=(1,), dtype=float32, description=Gripper state (opened or closed)),
            'wrist_image': Image(shape=(64, 64, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})","EEF Position
3 eef delta pose
3 zyx euler angles
1 gripper
1 terminate episode",modify action,,,,Human Kinesthetic,,,
CMU Franka Pick-Insert Data,"4
（场景比较diverse，但action没有很diverse但质量较好）",FALSE,FALSE,,"Insert
pick up",7,,Table Top,1,631,230,20,✅,iamlab_cmu_pickup_insert_converted_externally_to_rlds,"Insert greeen block.
Pick up pink block.
Pick up yellow block.
Pick up narrow blue stick.
Pick up green block.
Pick up blue block.
Pick up pink flower.",2,0,1,1,Franka,Single Arm,,,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of [3x end-effector position, 4x end-effector quaternion, 1x gripper open/close].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(360, 640, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(20,), dtype=float32, description=Robot state, consists of [7x robot joint angles, 1x gripper status, 6x joint torques, 6x end-effector force].),
            'wrist_image': Image(shape=(240, 320, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})","EEF Position
3 eef pose
4 eef quat
1 gripper
",modify action,,,,,,,
QUT Dexterous Manpulation,,FALSE,,,,,,Table Top,,,,30,✅,qut_dexterous_manipulation,,2,0,1,,Franka,Mobile manipulation,,,NA,EEF Position,,,,,,,,cannot get it
MPI Muscular Proprioception,,FALSE,,,,,,"The robot is alone in the environment, there are no other objects in the workspace.",,,,500,,N/A,,0,0,0,,PAMY2,Single Arm,,,NA,Desired pressures for the artificial muscles,,,,,,,,cannot get it
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
